127.0.0.1 - - [03/Jan/2024:13:21:47 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:21:48 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:21:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:22:15 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:22:44 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:22:44 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:24:48 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:33:59 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:33:59 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:35:22 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:35:22 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:35:57 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:35:57 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:35:58 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:35:58 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:35:58 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
